"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"AM000037682","AMASIA, AM","2014-07-22","61","70","53"
"AM000037682","AMASIA, AM","2014-07-23","64","77","55"
"AM000037682","AMASIA, AM","2014-07-24","68","84","55"
"AM000037682","AMASIA, AM","2014-07-25","70","86","57"
"AM000037682","AMASIA, AM","2014-07-26","68","81","61"
"AM000037682","AMASIA, AM","2014-07-27","67","81",
"AM000037682","AMASIA, AM","2014-07-28","61","74","55"
"AM000037682","AMASIA, AM","2014-07-29","60","69","53"
"AM000037682","AMASIA, AM","2014-07-30","60","72","53"
"AM000037682","AMASIA, AM","2014-07-31","62","73","50"
"AM000037682","AMASIA, AM","2014-08-01","64","77","53"
"AM000037682","AMASIA, AM","2014-08-02","67","80","56"
"AM000037682","AMASIA, AM","2014-08-03","66","78","58"
"AM000037682","AMASIA, AM","2014-08-04","67","76","57"
"AM000037682","AMASIA, AM","2014-08-05","63","76","56"
"AM000037682","AMASIA, AM","2014-08-06","61","71","51"
"AM000037682","AMASIA, AM","2014-08-07","68","78","50"
"AM000037682","AMASIA, AM","2014-08-08","68","83","55"
"AM000037682","AMASIA, AM","2014-08-09","67","78","60"
"AM000037682","AMASIA, AM","2014-08-10","67","80",
"AM000037682","AMASIA, AM","2014-08-11","68","81","59"
"AM000037682","AMASIA, AM","2014-08-12","67","78","55"
"AM000037682","AMASIA, AM","2014-08-13","66","77","59"
"AM000037682","AMASIA, AM","2014-08-14","67","77","58"
"AM000037682","AMASIA, AM","2014-08-15","69","83","58"
"AM000037682","AMASIA, AM","2014-08-16","67","81","59"
"AM000037682","AMASIA, AM","2014-08-17","69","84","57"
"AM000037682","AMASIA, AM","2014-08-18","72","88","57"
"AM000037682","AMASIA, AM","2014-08-19","70","88","57"
"AM000037682","AMASIA, AM","2014-08-20","65","77",
"AM000037682","AMASIA, AM","2014-08-21","67","83","52"
"AM000037682","AMASIA, AM","2014-08-22","67","82","55"
"AM000037682","AMASIA, AM","2014-08-23","68","81","59"
"AM000037682","AMASIA, AM","2014-08-24","68","82","60"
"AM000037682","AMASIA, AM","2014-08-25","70","84","54"
"AM000037682","AMASIA, AM","2014-08-26","71","84","56"
"AM000037682","AMASIA, AM","2014-08-27","70","85","56"
"AM000037682","AMASIA, AM","2014-08-28","70","87","56"
"AM000037682","AMASIA, AM","2014-08-29","68","85","57"
"AM000037682","AMASIA, AM","2014-08-30","65","77","57"
"AM000037682","AMASIA, AM","2014-08-31","66","76","57"
"AM000037682","AMASIA, AM","2014-09-01","65","77","54"
"AM000037682","AMASIA, AM","2014-09-02","66","81","55"
"AM000037682","AMASIA, AM","2014-09-03","68","83","56"
"AM000037682","AMASIA, AM","2014-09-04","68","82","56"
"AM000037682","AMASIA, AM","2014-09-05","65","78","55"
"AM000037682","AMASIA, AM","2014-09-06","61","72","53"
"AM000037682","AMASIA, AM","2014-09-07","64","81","49"
"AM000037682","AMASIA, AM","2014-09-08","65","81","49"
"AM000037682","AMASIA, AM","2014-09-09","62","79","51"
"AM000037682","AMASIA, AM","2014-09-10","62","80","49"
"AM000037682","AMASIA, AM","2014-09-11","62","79","51"
"AM000037682","AMASIA, AM","2014-09-12","62","78","52"
"AM000037682","AMASIA, AM","2014-09-13","60","75","50"
"AM000037682","AMASIA, AM","2014-09-14","59","72","50"
"AM000037682","AMASIA, AM","2014-09-15","58","70","49"
"AM000037682","AMASIA, AM","2014-09-16","54","68","46"
"AM000037682","AMASIA, AM","2014-09-17","54","67","45"
"AM000037682","AMASIA, AM","2014-09-18","56","67","47"
"AM000037682","AMASIA, AM","2014-09-19","57","67","48"
"AM000037682","AMASIA, AM","2014-09-20","55","67","45"
"AM000037682","AMASIA, AM","2014-09-21","51","63","44"
"AM000037682","AMASIA, AM","2014-09-22","52","65","45"
"AM000037682","AMASIA, AM","2014-09-23","56","66","42"
"AM000037682","AMASIA, AM","2014-09-24","49","58",
"AM000037682","AMASIA, AM","2014-09-25","44","54","34"
"AM000037682","AMASIA, AM","2014-09-26","44","55","34"
"AM000037682","AMASIA, AM","2014-09-27","50","63","34"
"AM000037682","AMASIA, AM","2014-09-28","49","61","43"
"AM000037682","AMASIA, AM","2014-09-29","46","56",
"AM000037682","AMASIA, AM","2014-09-30","44","53","36"
"AM000037682","AMASIA, AM","2014-10-01","48","55","39"
"AM000037682","AMASIA, AM","2014-10-02","49","58",
"AM000037682","AMASIA, AM","2014-10-03","46","56","40"
"AM000037682","AMASIA, AM","2014-10-04","46","55","40"
"AM000037682","AMASIA, AM","2014-10-05","49","56","42"
"AM000037682","AMASIA, AM","2014-10-06","51","59","40"
"AM000037682","AMASIA, AM","2014-10-07","47","56","42"
"AM000037682","AMASIA, AM","2014-10-08","42","48","36"
"AM000037682","AMASIA, AM","2014-10-09","45","52","39"
"AM000037682","AMASIA, AM","2014-10-10","47","57","36"
"AM000037682","AMASIA, AM","2014-10-11","47","59","35"
"AM000037682","AMASIA, AM","2014-10-12","49","63","36"
"AM000037682","AMASIA, AM","2014-10-13","51","64","38"
"AM000037682","AMASIA, AM","2014-10-14","50","63","40"
"AM000037682","AMASIA, AM","2014-10-15","48","60","40"
"AM000037682","AMASIA, AM","2014-10-16","48","57","38"
"AM000037682","AMASIA, AM","2014-10-17","47","54","37"
"AM000037682","AMASIA, AM","2014-10-18","45","51","40"
"AM000037682","AMASIA, AM","2014-10-19","37","44",
"AM000037682","AMASIA, AM","2014-10-20","34","44","26"
"AM000037682","AMASIA, AM","2014-10-21","37","50","28"
"AM000037682","AMASIA, AM","2014-10-22","39","54","27"
"AM000037682","AMASIA, AM","2014-10-23","41","53","28"
"AM000037682","AMASIA, AM","2014-10-24","41","57","28"
"AM000037682","AMASIA, AM","2014-10-25","42","57","26"
"AM000037682","AMASIA, AM","2014-10-26","39","50","28"
"AM000037682","AMASIA, AM","2014-10-27","38","41","33"
"AM000037682","AMASIA, AM","2014-10-28","40","45","33"
"AM000037682","AMASIA, AM","2014-10-29","39","43","32"
"AM000037682","AMASIA, AM","2014-10-30","38","46","29"
"AM000037682","AMASIA, AM","2014-10-31","40","47","31"
"AM000037682","AMASIA, AM","2014-11-01","40","45",
"AM000037682","AMASIA, AM","2014-11-02","31","40",
"AM000037682","AMASIA, AM","2014-11-03","26","30","19"
"AM000037682","AMASIA, AM","2014-11-04","24","30",
"AM000037682","AMASIA, AM","2014-11-05","25","36","14"
"AM000037682","AMASIA, AM","2014-11-06","29","45","18"
"AM000037682","AMASIA, AM","2014-11-07","36","53","24"
"AM000037682","AMASIA, AM","2014-11-08","35","55","24"
"AM000037682","AMASIA, AM","2014-11-09","36","58","24"
"AM000037682","AMASIA, AM","2014-11-10","35","54","23"
"AM000037682","AMASIA, AM","2014-11-11","36","58","23"
"AM000037682","AMASIA, AM","2014-11-12","34","46","23"
"AM000037682","AMASIA, AM","2014-11-13","32","45","24"
"AM000037682","AMASIA, AM","2014-11-14","32","43","23"
"AM000037682","AMASIA, AM","2014-11-15","37","45","26"
"AM000037682","AMASIA, AM","2014-11-16","37","41","32"
"AM000037682","AMASIA, AM","2014-11-17","38","42","34"
"AM000037682","AMASIA, AM","2014-11-18","37","45","31"
"AM000037682","AMASIA, AM","2014-11-19","36","45","31"
"AM000037682","AMASIA, AM","2014-11-20","35","37","31"
"AM000037682","AMASIA, AM","2014-11-21","34","38",
"AM000037682","AMASIA, AM","2014-11-22","33","35","31"
"AM000037682","AMASIA, AM","2014-11-23","31","37",
"AM000037682","AMASIA, AM","2014-11-24","28","31","26"
"AM000037682","AMASIA, AM","2014-11-25","27","29","26"
"AM000037682","AMASIA, AM","2014-11-26","28","33","25"
"AM000037682","AMASIA, AM","2014-11-27","30","34","26"
"AM000037682","AMASIA, AM","2014-11-28","30","34","27"
"AM000037682","AMASIA, AM","2014-11-29","26","31",
"AM000037682","AMASIA, AM","2014-11-30","26","28","21"
"AM000037682","AMASIA, AM","2014-12-01","26","30",
"AM000037682","AMASIA, AM","2014-12-02","19","28","12"
"AM000037682","AMASIA, AM","2014-12-03","19","30",
